customer_id,tenure_months,contract_type,monthly_charges,total_charges,support_tickets,last_login_days,monthly_usage_gb,payment_method,paperless_billing,online_security,tech_support,num_products,churn
CR-1000,7,One-Year,50.87,387.42,1,2,195.2,Electronic Check,Yes,Yes,No,2,0
CR-1001,8,One-Year,77.97,671.85,1,1,175.6,Mailed Check,No,No,No,3,0
CR-1002,72,One-Year,55.33,3977.2,1,1,96.6,Electronic Check,Yes,No,Yes,2,0
CR-1003,25,One-Year,53.91,1402.5,2,0,127.0,Electronic Check,No,Yes,Yes,2,0
CR-1004,23,One-Year,44.51,1050.03,3,1,316.9,Credit Card,Yes,Yes,No,1,0
CR-1005,33,One-Year,39.88,1279.08,3,6,373.8,Credit Card,Yes,Yes,Yes,1,0
CR-1006,40,One-Year,35.48,1381.36,2,4,285.0,Bank Transfer,Yes,Yes,Yes,1,0
CR-1007,15,One-Year,58.55,860.93,2,13,198.3,Electronic Check,No,No,Yes,2,0
CR-1008,33,Two-Year,66.49,2237.51,2,22,133.0,Electronic Check,Yes,No,Yes,2,0
CR-1009,26,Two-Year,70.56,1819.52,2,16,96.1,Electronic Check,Yes,Yes,No,2,0
CR-1010,11,Month-to-Month,44.97,437.9,4,8,101.4,Electronic Check,Yes,Yes,No,2,1
CR-1011,22,Two-Year,75.97,1664.47,0,1,115.7,Credit Card,Yes,Yes,No,3,0
CR-1012,4,Month-to-Month,77.59,250.94,1,13,332.1,Electronic Check,Yes,Yes,No,3,1
CR-1013,47,One-Year,67.17,3125.34,1,4,304.5,Bank Transfer,Yes,Yes,Yes,3,0
CR-1014,39,Month-to-Month,59.8,2314.59,0,0,219.7,Credit Card,No,Yes,Yes,2,0
CR-1015,10,Month-to-Month,62.48,629.29,1,20,83.2,Electronic Check,No,Yes,Yes,2,1
CR-1016,8,One-Year,102.19,848.24,3,4,231.4,Credit Card,Yes,No,Yes,4,0
CR-1017,10,Month-to-Month,43.77,458.52,2,2,140.9,Credit Card,Yes,No,No,1,1
CR-1018,16,One-Year,34.19,511.66,0,22,12.0,Electronic Check,Yes,No,No,1,1
CR-1019,52,One-Year,81.12,4207.09,3,25,183.0,Mailed Check,Yes,No,No,2,0
CR-1020,2,Month-to-Month,69.29,140.87,3,4,92.6,Bank Transfer,No,Yes,No,2,1
CR-1021,10,Month-to-Month,48.53,477.43,1,4,95.4,Credit Card,Yes,No,No,1,0
CR-1022,19,Month-to-Month,89.05,1683.87,4,9,140.0,Mailed Check,No,Yes,No,3,1
CR-1023,13,One-Year,63.45,773.17,1,14,120.1,Mailed Check,Yes,No,No,2,0
CR-1024,7,Month-to-Month,73.86,482.44,3,0,157.3,Bank Transfer,Yes,Yes,No,2,1
CR-1025,10,One-Year,61.57,603.61,2,9,153.4,Electronic Check,No,Yes,No,2,0
CR-1026,3,Month-to-Month,61.02,90.26,3,33,12.0,Electronic Check,Yes,No,Yes,2,1
CR-1027,5,Month-to-Month,49.35,265.97,1,3,281.6,Credit Card,Yes,Yes,Yes,1,0
CR-1028,42,One-Year,58.76,2426.74,1,26,81.3,Mailed Check,Yes,Yes,No,1,0
CR-1029,65,Two-Year,58.12,3798.41,0,32,83.8,Electronic Check,Yes,Yes,Yes,1,0
CR-1030,21,Month-to-Month,84.93,1801.5,1,3,133.7,Electronic Check,Yes,No,No,3,0
CR-1031,55,Month-to-Month,66.17,3623.04,4,15,151.3,Credit Card,No,Yes,No,2,0
CR-1032,5,One-Year,67.96,369.82,1,3,276.7,Bank Transfer,No,No,No,2,0
CR-1033,13,Month-to-Month,70.86,943.48,2,14,181.6,Electronic Check,No,No,Yes,2,1
CR-1034,29,One-Year,73.99,2136.44,2,17,205.3,Electronic Check,Yes,Yes,Yes,2,0
CR-1035,4,Two-Year,58.63,221.87,1,3,182.0,Electronic Check,No,No,No,2,0
CR-1036,27,Month-to-Month,56.18,1549.78,3,13,178.5,Mailed Check,No,No,No,1,0
